708072909114318848	b'SCOTUSnom'	b'SCOTUS Nomination'
3290070855	b'LorettaLynch'	b'AG Loretta Lynch'
3907577966	b'FactsOnClimate'	b'Facts On Climate'
41144996	b'Cubs'	b'Chicago Cubs'
36771809	b'NatlParkService'	b'NationalParkService'
3281853858	b'TheIranDeal'	b'The Iran Deal '
11348282	b'NASA'	b'NASA'
248795646	b'Columbia'	b'Columbia University'
39585367	b'Harvard'	b'Harvard University'
42999204	b'OxyNews'	b'Occidental College'
14498484	b'NHLBlackhawks'	b'Chicago Blackhawks'
53197137	b'whitesox'	b'Chicago White Sox'
47964412	b'ChicagoBears'	b'Chicago Bears'
16212685	b'chicagobulls'	b'Chicago Bulls'
1615463502	b'AmbassadorPower'	b'Samantha Power'
9624742	b'StateDept'	b'Department of State'
14615871	b'EPA'	b'U.S. EPA'
15007149	b'JohnKerry'	b'John Kerry'
15647676	b'DHSgov'	b'Homeland Security'
19948202	b'HUDgov'	b'HUDgov'
20179628	b'USDOL'	b'US Labor Department'
20437286	b'usedgov'	b'US Dept of Education'
43920155	b'SecretaryFoxx'	b'Anthony Foxx'
44615672	b'USTradeRep'	b'USTR'
44783853	b'HHSGov'	b'HHS.gov'
44873497	b'JohnKingatED'	b'John King'
61853389	b'USDA'	b'Dept. of Agriculture'
66369181	b'DeptofDefense'	b'U.S. Dept of Defense'
73181712	b'TheJusticeDept'	b'Justice Department'
76348185	b'Interior'	b'US Dept of Interior'
78408666	b'DeptVetAffairs'	b'Veterans Affairs'
110541296	b'CommerceGov'	b'U.S. Commerce Dept.'
120176950	b'USTreasury'	b'Treasury Department'
153149305	b'SBAgov'	b'SBA'
166252256	b'ENERGY'	b'Energy Department'
308573576	b'PennyPritzker'	b'Penny Pritzker'
393562221	b'USDOT'	b'TransportationGov'
1342861723	b'SecretaryJewell'	b'Sally Jewell'
1393155566	b'ErnestMoniz'	b'Ernest Moniz'
1530850933	b'GinaEPA'	b'Gina McCarthy'
